PLANT,PLANT_LAT,PLANT_LNG,SHIPMENTS,DESTINATION,DESTINATION_ZIP,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_STATE_LAT,DESTINATION_STATE_LNG,DESTINATION_ZIP_LAT,DESTINATION_ZIP_LNG
1661,47.1,-122.32,8,BELLINGHAM,98226,WA,US,47.3917,-121.5708,48.79,-122.41
1661,47.1,-122.32,3,EVERETT,98201,WA,US,47.3917,-121.5708,47.98,-122.2
1661,47.1,-122.32,1,EVERETT,98204,WA,US,47.3917,-121.5708,47.89,-122.25
1661,47.1,-122.32,1,RENTON,98057,WA,US,47.3917,-121.5708,47.48,-122.19
1661,47.1,-122.32,3,SEATTLE,98133,WA,US,47.3917,-121.5708,47.73,-122.34
1661,47.1,-122.32,6,SEATTLE,98134,WA,US,47.3917,-121.5708,47.57,-122.33
1661,47.1,-122.32,1,SEATTLE,98144,WA,US,47.3917,-121.5708,47.58,-122.3
1661,47.1,-122.32,4,BELLEVUE,98005,WA,US,47.3917,-121.5708,47.62,-122.16
1661,47.1,-122.32,2,ISSAQUAH,98029,WA,US,47.3917,-121.5708,47.55,-122
1661,47.1,-122.32,2,REDMOND,98052,WA,US,47.3917,-121.5708,47.68,-122.12
1661,47.1,-122.32,7,TACOMA,98409,WA,US,47.3917,-121.5708,47.21,-122.47
1661,47.1,-122.32,4,GIGHARBOR,98332,WA,US,47.3917,-121.5708,47.36,-122.6
1661,47.1,-122.32,2,BREMERTON,98311,WA,US,47.3917,-121.5708,47.63,-122.63
1661,47.1,-122.32,1,SILVERDALE,98383,WA,US,47.3917,-121.5708,47.67,-122.72
1661,47.1,-122.32,8,PENDLETON,97801,OR,US,44.5672,-122.1269,45.73,-118.79
1661,47.1,-122.32,2,MOSESLAKE,98837,WA,US,47.3917,-121.5708,47.19,-119.3
1661,47.1,-122.32,1,LYNNWOOD,98036,WA,US,47.3917,-121.5708,47.8,-122.28
1661,47.1,-122.32,3,ARLINGTON,98223,WA,US,47.3917,-121.5708,48.18,-121.67
1661,47.1,-122.32,2,TACOMA,98401,WA,US,47.3917,-121.5708,47.25,-122.44
580,47.1,-122.32,2,BELLINGHAM,98226,WA,US,47.3917,-121.5708,48.79,-122.41
300,33.04,-96.51,6,WICHITA,67213,KS,US,38.5111,-96.8005,37.68,-97.34
642,39.69,-104.81,4,SALTLAKECITY,84115,UT,US,40.1135,-111.8535,40.71,-111.89
642,39.69,-104.81,1,SANDY,84070,UT,US,40.1135,-111.8535,40.57,-111.89
646,28.04,-81.96,2,GAINESVILLE,32653,FL,US,27.8333,-81.717,29.67,-82.33
580,47.1,-122.32,4,SANJOSE,95123,CA,US,36.17,-119.7462,37.23,-121.82
